,MAE,MSE,RMSE,R2
Aotizhongxin,27.753366336184534,1805.7037188218221,42.493572676603954,0.7385611462293841
Changping,23.368670810965682,1270.323223704135,35.641594011830264,0.7569130115665159
Dingling,19.805665543038703,762.6720250344143,27.616517250269165,0.8252230639142676
Dongsi,28.741988441435335,1788.1756354902525,42.286825791140345,0.7876774326136231
Guanyuan,28.456180707546384,1921.207430464543,43.831580287100564,0.731607535422205
Gucheng,31.970961778586204,2391.4609337956795,48.902565717921995,0.698458482460642
Huairou,23.330288104619886,1090.7490633647435,33.0264903276861,0.7651666150287242
Nongzhanguan,23.545809049130185,1265.545637487135,35.57450825362362,0.8402912693702771
Shunyi,24.697842729704284,1293.0629673564665,35.959184742656035,0.806732605840718
Tiantan,27.97637592666764,1678.53730440741,40.96995611917848,0.7687771939877701
Wanliu,28.084465215145865,1686.2070669814457,41.063451717816484,0.7471960829416491
Wanshouxigong,31.699316318616884,2550.9097077299416,50.50653133734232,0.7089485878722883
