,MAE,MSE,RMSE,R2
Aotizhongxin,13.329721247593001,382.2566791020909,19.55138560568255,0.9457385137429213
Changping,10.396865060830013,278.4803557408839,16.687730694761463,0.9474704605647915
Dingling,9.629194815451907,237.1808199175201,15.40067595651308,0.9456469350212435
Dongsi,11.163111403070793,338.56107606826686,18.40002924096228,0.9602533709483627
Guanyuan,12.573604920102566,659.3230681915688,25.67728700995432,0.9086189525951346
Gucheng,11.551914841200878,387.31229595938635,19.68025142012638,0.9522141508498337
Huairou,9.152587558529545,220.60855610033818,14.852897229171761,0.9535298604824203
Nongzhanguan,11.23256203256123,301.4839099916709,17.36329202633161,0.9615535982519571
Shunyi,9.992287670633678,264.26113102127863,16.256110574835503,0.9612001501914083
Tiantan,10.958763590186347,353.39655814127224,18.7988445959126,0.9507061921355565
Wanliu,11.48431677974405,308.0966433207141,17.552681940966004,0.9539928344521855
Wanshouxigong,12.986425491389149,505.3060956152702,22.479014560591178,0.9413606160614351
